N AUTORIZZAZIONE;CANALE;COD AGENZIA;COD AGENTE;DSC GETTONE;IDENTIFICATIVO CASE ITEM;TIPO SERVIZIO PRODOTTO;TIPO CLIENTE;TIPO CLIENTE EFFETTIVO;DSC FORFAIT;IMPORTO EURO;PRIMA COMPETENZA;DATA CREAZIONE CASE ITEM;PROCESSO CASE;STATO CASE ITEM;STATO UDB CASE ITEM;CAUSALE ANNULLAMENTO CASE ITEM;IDENTIFICATIVO INTERAZIONE;CANALE CONTATTO;PIATTAFORMA;CODA;CODA COMPLESSITA;OPERAZIONE;DATA CREAZIONE;DATA ESTRAZIONE FLUSSO;DATA ATTIVAZIONE;TIPOLOGIA GETTONE;DATA COMPETENZA;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;ALLACCIO CON ATTIVAZIONE;A381N00000CEAPIAAC;ELETTRICO;RESIDENZIALE;RESIDENZIALE;---;0,;Ottobre-2021;2021-10-01 00:00:00;ALLACCIO E ATTIVAZIONE;CHIUSO;NON PREVISTO;***;a3i1n00000sFbnjAAC;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-10-01 13:19:21.0;2021-12-31 12:36:43.0;;Tipologia non definita;10/2021;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;ALLACCIO CON ATTIVAZIONE;A381N00000DNHMSAAW;***;RESIDENZIALE;RESIDENZIALE;---;13,;Dicembre-2021;2021-12-02 00:00:00;ALLACCIO E ATTIVAZIONE;IN LAVORAZIONE;NON PREVISTO;***;a3i1n00000viHnkAAE;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-12-02 08:30:32.0;2021-12-31 12:36:43.0;;Tipologia non definita;12/2021;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;ALLACCIO CON ATTIVAZIONE;A381N00000DCXZZAAK;ELETTRICO;RESIDENZIALE;RESIDENZIALE;---;13,;Dicembre-2021;2021-11-26 00:00:00;ALLACCIO E ATTIVAZIONE;CHIUSO;OK;***;a3i1n00000vroQcAAI;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-11-26 08:35:31.0;2021-12-31 12:36:43.0;;Tipologia non definita;11/2021;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;ALLACCIO CON ATTIVAZIONE;A381N00000CAX7OAAC;ELETTRICO;RESIDENZIALE;RESIDENZIALE;---;0,;Novembre-2021;2021-09-13 00:00:00;ALLACCIO E ATTIVAZIONE;CHIUSO;OK;***;a3i1n00000rXfqcAAC;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-09-13 12:22:54.0;2021-12-31 12:36:43.0;;Tipologia non definita;09/2021;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;ALLACCIO CON ATTIVAZIONE;A381N00000DWEGZAA0;ELETTRICO;BUSINESS;NON RESIDENZIALE;---;13,;Dicembre-2021;2021-12-07 00:00:00;ALLACCIO E ATTIVAZIONE;CHIUSO;NON PREVISTO;***;a3i1n00000wgLfQAAU;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-12-07 14:08:40.0;2021-12-31 12:36:43.0;;Tipologia non definita;12/2021;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;ALLACCIO CON ATTIVAZIONE;A381N00000DC2FEAAC;ELETTRICO;BUSINESS;NON RESIDENZIALE;---;0,;Novembre-2021;2021-11-22 00:00:00;ALLACCIO E ATTIVAZIONE;CHIUSO;NON PREVISTO;***;a3i1n00000vLmZnAAK;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-11-22 12:14:53.0;2021-12-31 12:36:43.0;;Tipologia non definita;11/2021;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;ALLACCIO CON ATTIVAZIONE;A381N00000CT3RJAAI;ELETTRICO;BUSINESS;NON RESIDENZIALE;---;0,;Novembre-2021;2021-11-09 00:00:00;ALLACCIO E ATTIVAZIONE;CHIUSO;OK;***;a3i1n00000uIl5XAAS;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-11-09 12:24:02.0;2021-12-31 12:36:43.0;;Tipologia non definita;11/2021;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;ALLACCIO CON ATTIVAZIONE;A381N00000DYRPYAA4;***;BUSINESS;NON RESIDENZIALE;---;13,;Dicembre-2021;2021-12-20 00:00:00;ALLACCIO E ATTIVAZIONE;IN LAVORAZIONE;OK;***;a3i1n00000wj2eWAAQ;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-12-20 09:37:53.0;2021-12-31 12:36:43.0;;Tipologia non definita;12/2021;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;RID ALLACCIO CON ATTIVAZIONE;A381N00000CAX7OAAC;ELETTRICO;RESIDENZIALE;RESIDENZIALE;---;5,;Dicembre-2021;2021-09-13 00:00:00;ALLACCIO E ATTIVAZIONE;CHIUSO;OK;***;a3i1n00000rXfqcAAC;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-09-13 12:22:54.0;2021-12-31 12:36:43.0;;Tipologia non definita;09/2021;
37085;PUNTO ENEL NEGOZIO PARTNER;PENP6KY;---;RID ALLACCIO CON ATTIVAZIONE;A381N00000DCXZZAAK;ELETTRICO;RESIDENZIALE;RESIDENZIALE;---;5,;Dicembre-2021;2021-11-26 00:00:00;ALLACCIO E ATTIVAZIONE;CHIUSO;OK;***;a3i1n00000vroQcAAI;***;***;***;GENERICA;ALLACCIO E ATTIVAZIONE;2021-11-26 08:35:31.0;2021-12-31 12:36:43.0;;Tipologia non definita;11/2021;
